IIN	Type	Name	Length
371116	Amex	AMEX	15
371117	Amex	AMEX	15
371118	Amex	AMEX	15
371119	Amex	AMEX	15
371120	Amex	AMEX	15
371121	Amex	AMEX	15
371122	Amex	AMEX	15
371123	Amex	AMEX	15
371124	Amex	AMEX	15
371125	Amex	AMEX	15
371126	Amex	AMEX	15
371127	Amex	AMEX	15
371128	Amex	AMEX	15
371129	Amex	AMEX	15
371130	Amex	AMEX	15
371131	Amex	AMEX	15
371132	Amex	AMEX	15
371133	Amex	AMEX	15
371134	Amex	AMEX	15
371135	Amex	AMEX	15
371136	Amex	AMEX	15
371137	Amex	AMEX	15
371138	Amex	AMEX	15
371139	Amex	AMEX	15
371140	Amex	AMEX	15
371141	Amex	AMEX	15
371142	Amex	AMEX	15
371143	Amex	AMEX	15
371144	Amex	AMEX	15
371145	Amex	AMEX	15
371146	Amex	AMEX	15
371147	Amex	AMEX	15
371148	Amex	AMEX	15
371149	Amex	AMEX	15
371150	Amex	AMEX	15
371151	Amex	AMEX	15
371152	Amex	AMEX	15
371153	Amex	AMEX	15
371154	Amex	AMEX	15
371155	Amex	AMEX	15
371156	Amex	AMEX	15
371157	Amex	AMEX	15
371158	Amex	AMEX	15
371159	Amex	AMEX	15
371160	Amex	AMEX	15
371161	Amex	AMEX	15
371162	Amex	AMEX	15
371163	Amex	AMEX	15
371164	Amex	AMEX	15
371165	Amex	AMEX	15
371166	Amex	AMEX	15
371167	Amex	AMEX	15
371168	Amex	AMEX	15
371169	Amex	AMEX	15
371170	Amex	AMEX	15
371171	Amex	AMEX	15
371172	Amex	AMEX	15
371173	Amex	AMEX	15
371174	Amex	AMEX	15
371175	Amex	AMEX	15
371176	Amex	AMEX	15
371177	Amex	AMEX	15
371178	Amex	AMEX	15
371179	Amex	AMEX	15
371180	Amex	AMEX	15
371181	Amex	AMEX	15
371182	Amex	AMEX	15
371183	Amex	AMEX	15
371184	Amex	AMEX	15
371185	Amex	AMEX	15
371186	Amex	AMEX	15
371187	Amex	AMEX	15
371188	Amex	AMEX	15
371189	Amex	AMEX	15
371190	Amex	AMEX	15
371191	Amex	AMEX	15
371192	Amex	AMEX	15
371193	Amex	AMEX	15
371194	Amex	AMEX	15
371195	Amex	AMEX	15
371196	Amex	AMEX	15
371197	Amex	AMEX	15
371198	Amex	AMEX	15
371199	Amex	AMEX	15
371200	Amex	GREEN	15
371201	Amex	GREEN	15
371202	Amex	GREEN	15
371203	Amex	GREEN	15
371204	Amex	GREEN	15
371205	Amex	GREEN	15
371206	Amex	GREEN	15
371207	Amex	GREEN	15
371208	Amex	GREEN	15
371209	Amex	GREEN	15
371210	Amex	GREEN	15
371211	Amex	GREEN	15
371212	Amex	GREEN	15
371213	Amex	GREEN	15
371214	Amex	GREEN	15
371215	Amex	GREEN	15
371216	Amex	GREEN	15
371217	Amex	GREEN	15
371218	Amex	GREEN	15
371219	Amex	GREEN	15
371220	Amex	GREEN	15
371221	Amex	GREEN	15
371222	Amex	GREEN	15
371223	Amex	GREEN	15
371224	Amex	GREEN	15
371225	Amex	GREEN	15
371226	Amex	GREEN	15
371227	Amex	GREEN	15
371228	Amex	GREEN	15
371229	Amex	GREEN	15
371230	Amex	GREEN	15
371231	Amex	GREEN	15
371232	Amex	GREEN	15
371233	Amex	GREEN	15
371234	Amex	GREEN	15
371235	Amex	GREEN	15
371236	Amex	GREEN	15
371237	Amex	GREEN	15
371238	Amex	GREEN	15
371239	Amex	GREEN	15
371240	Amex	GREEN	15
371241	Amex	GREEN	15
371242	Amex	GREEN	15
371243	Amex	GREEN	15
371244	Amex	GREEN	15
371245	Amex	GREEN	15
371246	Amex	GREEN	15
371247	Amex	GREEN	15
371248	Amex	GREEN	15
371249	Amex	GREEN	15
371250	Amex	GREEN	15
371251	Amex	GREEN	15
371252	Amex	GREEN	15
371253	Amex	GREEN	15
371254	Amex	GREEN	15
